"","IE_3_4.1","IE_3_4.2","IE_3_4.3","IE_3_4.4","IE_3_4.5","IE_3_4.6","IE_3_4.7","IE_3_4.8","IE_3_4.9","IE_3_4.10","IE_3_4.11","IE_3_4.12","IE_3_4.13","IE_3_4.14"
"AGO 1978",50.6,2.68,-2.70,82.20,-5.71,-6.20,14.07,2.76,-3.86,"_","_","_","_","_"
"SEP 1978",81.8,2.25,1.89,31.12,-6.40,-8.80,-0.45,2.94,-5.61,"_","_","_","_","_"
"OCT 1978",84.7,5.85,14.60,6.14,5.94,5.36,-23.85,7.19,10.50,"_","_","_","_","_"
"NOV 1978",85.4,7.39,16.31,4.62,14.12,2.81,-19.16,8.67,8.54,"_","_","_","_","_"
"DIC 1978",78.8,-2.09,4.81,-10.37,4.32,4.96,-24.89,-1.80,9.28,"_","_","_","_","_"
"ENE 1979",80.5,3.55,0.86,24.65,-2.12,-6.16,9.74,4.42,-4.27,"_","_","_","_","_"
"FEB 1979",75.3,-3.39,6.34,-15.72,0.94,5.38,28.57,-5.19,9.27,"_","_","_","_","_"
"MAR 1979",82.3,3.00,10.33,-12.47,8.43,14.02,11.94,1.30,20.77,"_","_","_","_","_"
"ABR 1979",75.7,-3.81,-5.34,-7.94,-0.86,3.87,-5.08,-4.54,4.94,"_","_","_","_","_"
"MAY 1979",85.2,7.25,4.30,16.18,4.17,2.20,3.81,7.76,3.15,"_","_","_","_","_"
"JUN 1979",81.9,-0.58,-1.87,-1.57,2.04,2.64,6.60,-1.10,3.48,"_","_","_","_","_"
"JUL 1979",78.5,6.00,11.59,-3.68,12.14,5.71,-3.16,6.13,9.63,"_","_","_","_","_"
"AGO 1979",51.6,1.90,12.39,-7.07,-2.47,12.26,0.67,1.22,8.33,"_","_","_","_","_"
"SEP 1979",79.9,-2.35,6.65,-21.75,6.12,17.70,11.59,-4.14,15.86,"_","_","_","_","_"
"OCT 1979",84.9,0.28,4.30,-7.06,2.63,10.18,10.46,-0.68,9.23,"_","_","_","_","_"
"NOV 1979",86.6,1.40,1.23,2.35,0.17,9.77,13.32,0.55,8.09,"_","_","_","_","_"
"DIC 1979",76.8,-2.59,-9.02,14.60,-6.38,-1.18,5.21,-3.05,-0.97,"_","_","_","_","_"
"ENE 1980",82.3,2.23,3.75,-7.90,9.73,12.24,12.04,0.88,12.99,"_","_","_","_","_"
"FEB 1980",82.1,8.92,8.42,8.37,10.84,14.34,5.30,9.39,6.00,"_","_","_","_","_"
"MAR 1980",83.1,1.02,3.45,-2.96,7.43,8.68,15.28,0.28,3.40,"_","_","_","_","_"
"ABR 1980",79.2,4.60,-0.17,13.65,0.17,9.61,23.02,4.60,0.00,"_","_","_","_","_"
"MAY 1980",83.4,-2.11,5.56,-21.84,4.83,17.42,19.67,-3.73,13.23,"_","_","_","_","_"
"JUN 1980",79.8,-2.64,2.23,-17.51,0.50,13.30,14.91,-3.62,8.29,"_","_","_","_","_"
"JUL 1980",79.4,1.22,5.02,-13.36,2.57,17.14,10.51,0.30,11.05,"_","_","_","_","_"
"AGO 1980",47.7,-7.44,-2.28,-51.01,-2.76,6.72,-10.25,-9.18,8.26,"_","_","_","_","_"
"SEP 1980",81.2,1.65,-7.83,23.85,-11.19,-8.79,-16.44,3.27,-6.60,"_","_","_","_","_"
"OCT 1980",88.2,3.81,0.46,1.85,0.85,1.61,16.55,3.31,3.38,"_","_","_","_","_"
"NOV 1980",84.1,-2.91,-8.52,-4.99,-4.51,-5.16,-1.77,-3.15,-0.83,"_","_","_","_","_"
"DIC 1980",79.8,3.91,6.30,-11.65,5.71,4.45,4.21,2.99,12.48,"_","_","_","_","_"
"ENE 1981",78.0,-5.25,-5.59,-6.22,-10.67,-3.16,12.39,-5.93,-5.15,"_","_","_","_","_"
"FEB 1981",79.4,-3.22,-7.28,2.21,-9.61,-5.33,10.39,-3.72,-3.91,"_","_","_","_","_"
"MAR 1981",83.7,0.72,2.22,-4.77,-1.45,-7.32,6.48,1.56,-8.70,"_","_","_","_","_"
"ABR 1981",79.1,-0.15,6.51,-16.06,2.42,-8.94,-2.17,0.29,-4.93,"_","_","_","_","_"
"MAY 1981",81.8,-1.87,3.16,-15.62,0.16,-6.04,16.53,-2.22,-2.47,"_","_","_","_","_"
"JUN 1981",81.8,2.56,2.95,-5.12,2.32,-7.39,21.26,2.45,-2.39,"_","_","_","_","_"
"JUL 1981",83.5,5.14,12.28,-15.93,6.08,-2.00,13.75,4.43,6.63,"_","_","_","_","_"
"AGO 1981",46.1,-3.52,-4.67,-10.50,-3.07,-11.42,10.04,-4.52,-3.69,"_","_","_","_","_"
"SEP 1981",79.8,-1.77,8.81,-23.73,6.11,0.43,24.27,-3.60,5.50,"_","_","_","_","_"
"OCT 1981",85.1,-3.54,10.03,-27.13,1.86,2.96,9.81,-4.94,4.67,"_","_","_","_","_"
"NOV 1981",83.4,-0.86,12.48,-18.52,3.67,0.19,16.21,-1.70,-1.26,"_","_","_","_","_"
"DIC 1981",79.4,-0.45,4.92,-4.93,-1.92,-2.29,9.98,-0.15,-7.97,"_","_","_","_","_"
"ENE 1982",75.5,-3.23,7.14,-25.49,4.96,1.96,-25.89,-3.39,5.06,"_","_","_","_","_"
"FEB 1982",77.4,-2.57,11.34,-26.55,8.21,2.18,-38.61,-2.53,8.94,"_","_","_","_","_"
"MAR 1982",85.2,1.72,11.80,-18.15,7.34,8.80,-29.96,1.26,18.22,"_","_","_","_","_"
"ABR 1982",78.1,-1.21,8.04,-18.70,-0.51,10.61,30.14,-2.92,11.56,"_","_","_","_","_"
"MAY 1982",82.1,0.29,2.19,-8.37,0.32,2.34,11.16,-0.71,8.52,"_","_","_","_","_"
"JUN 1982",79.7,-2.64,4.38,-14.23,-3.72,7.36,7.98,-3.80,9.31,"_","_","_","_","_"
"JUL 1982",80.4,-3.74,-5.68,3.63,-7.92,2.66,-7.84,-3.68,-0.24,"_","_","_","_","_"
"AGO 1982",45.3,-1.56,2.65,-3.57,-6.34,11.56,-11.01,-1.39,4.65,"_","_","_","_","_"
"SEP 1982",83.1,4.21,-0.58,8.75,0.54,4.48,-12.49,5.23,5.21,"_","_","_","_","_"
"OCT 1982",81.1,-4.65,-6.08,-8.66,0.66,3.07,-17.30,-4.63,4.02,"_","_","_","_","_"
"NOV 1982",83.7,0.43,-1.18,-4.53,1.18,5.24,-10.69,0.43,7.64,"_","_","_","_","_"
"DIC 1982",78.8,-0.76,0.49,-8.51,-0.71,9.38,-1.73,-1.99,11.68,"_","_","_","_","_"
"ENE 1983",79.8,5.72,4.55,3.58,3.85,8.00,69.21,3.66,8.43,"_","_","_","_","_"
"FEB 1983",79.4,2.64,2.35,-6.95,-0.35,15.10,106.45,-0.61,13.43,"_","_","_","_","_"
"MAR 1983",86.5,1.55,-1.81,0.38,-3.34,8.25,99.12,-0.28,-2.15,"_","_","_","_","_"
"ABR 1983",80.6,3.23,4.91,0.97,3.22,11.37,21.46,1.81,11.21,"_","_","_","_","_"
"MAY 1983",85.2,3.80,8.85,-1.62,3.48,17.33,19.43,2.85,9.55,"_","_","_","_","_"
"JUN 1983",83.0,4.22,10.71,-6.60,8.24,10.28,24.62,3.37,7.18,"_","_","_","_","_"
"JUL 1983",78.9,-1.79,3.31,-10.31,2.75,4.58,37.99,-4.41,3.84,"_","_","_","_","_"
"AGO 1983",47.6,5.03,4.77,16.40,3.91,0.80,38.52,2.83,0.52,"_","_","_","_","_"
"SEP 1983",83.7,0.72,9.88,-8.68,2.50,9.18,30.28,-0.99,3.30,"_","_","_","_","_"
"OCT 1983",82.9,2.22,8.82,-1.41,0.16,4.10,4.56,2.36,0.64,"_","_","_","_","_"
"NOV 1983",84.8,1.29,9.28,-9.49,4.33,7.30,6.45,1.00,1.38,"_","_","_","_","_"
"DIC 1983",82.7,4.87,10.77,-9.30,10.91,8.73,10.07,4.69,4.22,"_","_","_","_","_"
"ENE 1984",82.5,3.46,8.24,-8.18,7.08,9.48,8.35,3.23,4.76,"_","_","_","_","_"
"FEB 1984",83.3,4.83,7.66,-4.74,10.90,9.10,6.01,5.06,3.45,"_","_","_","_","_"
"MAR 1984",85.8,-0.83,5.66,-15.24,4.09,11.74,-5.10,-2.63,18.68,"_","_","_","_","_"
"ABR 1984",78.0,-3.27,-1.56,-13.80,2.46,-2.23,2.75,-3.25,-4.56,"_","_","_","_","_"
"MAY 1984",85.7,0.56,3.28,-5.78,0.61,-0.81,0.90,0.56,0.97,"_","_","_","_","_"
"JUN 1984",81.7,-1.59,1.05,-11.81,0.16,-1.90,2.51,-2.13,1.88,"_","_","_","_","_"
"JUL 1984",81.9,3.80,7.14,-0.43,3.57,4.76,-21.23,5.53,6.47,"_","_","_","_","_"
"AGO 1984",50.9,6.80,12.90,6.36,2.26,8.10,-21.46,9.07,13.51,"_","_","_","_","_"
"SEP 1984",81.5,-2.72,2.38,-17.32,0.70,0.19,-23.11,-2.01,5.71,"_","_","_","_","_"
"OCT 1984",87.5,5.50,8.51,-0.21,6.92,3.58,13.96,5.04,4.90,"_","_","_","_","_"
"NOV 1984",86.1,1.56,3.56,4.23,-1.28,0.66,6.10,0.99,4.09,"_","_","_","_","_"
"DIC 1984",78.8,-4.64,-1.89,-6.80,-5.48,-3.10,2.48,-5.82,1.29,"_","_","_","_","_"
"ENE 1985",84.6,2.47,6.46,-2.74,-1.89,12.58,-16.28,1.04,18.64,"_","_","_","_","_"
"FEB 1985",80.7,-3.03,2.56,-7.18,-4.06,-3.68,-18.45,-2.48,-1.27,"_","_","_","_","_"
"MAR 1985",85.1,-0.84,3.35,-4.61,-1.66,1.37,-21.71,-0.28,2.47,"_","_","_","_","_"
"ABR 1985",81.0,3.85,7.64,2.73,1.92,3.59,-19.75,4.13,8.76,"_","_","_","_","_"
"MAY 1985",86.5,0.98,3.05,-2.08,1.37,5.56,-11.06,0.83,6.91,"_","_","_","_","_"
"JUN 1985",79.9,-2.20,-0.26,-3.38,-1.71,4.75,-20.70,-2.60,9.65,"_","_","_","_","_"
"JUL 1985",85.4,4.25,5.03,1.20,6.37,11.09,5.23,3.35,12.36,"_","_","_","_","_"
"AGO 1985",50.0,-1.65,-1.85,-16.67,0.73,6.03,-3.79,-2.77,7.55,"_","_","_","_","_"
"SEP 1985",84.2,3.39,0.26,7.51,5.55,8.02,6.57,2.93,5.61,"_","_","_","_","_"
"OCT 1985",94.4,7.96,3.24,6.56,4.01,6.22,1.52,8.63,4.88,"_","_","_","_","_"
"NOV 1985",88.7,2.92,-3.04,-7.83,2.75,14.17,0.98,1.96,14.58,"_","_","_","_","_"
"DIC 1985",82.3,4.41,-1.18,-2.15,3.07,10.90,1.01,4.12,7.51,"_","_","_","_","_"
"ENE 1986",84.3,-0.28,-3.91,1.64,2.73,-3.49,-9.26,0.74,-4.09,"_","_","_","_","_"
"FEB 1986",84.0,4.01,0.55,0.95,4.88,8.81,-9.34,2.99,15.14,"_","_","_","_","_"
"MAR 1986",83.6,-1.69,-5.70,-4.00,0.92,0.27,-2.24,-1.71,-1.51,"_","_","_","_","_"
"ABR 1986",90.2,11.41,9.24,10.39,9.28,10.39,1.19,11.45,14.47,"_","_","_","_","_"
"MAY 1986",87.1,0.69,-1.48,-3.02,3.15,0.47,-4.35,1.23,-3.05,"_","_","_","_","_"
"JUN 1986",88.3,10.51,4.15,15.80,8.20,10.08,2.26,11.59,1.69,"_","_","_","_","_"
"JUL 1986",89.4,4.64,-0.13,5.60,3.88,1.15,-11.71,6.48,-3.86,"_","_","_","_","_"
"AGO 1986",48.1,-3.84,-2.05,-30.26,-4.14,3.79,-11.77,-3.63,-1.70,"_","_","_","_","_"
"SEP 1986",87.9,4.42,0.00,5.63,2.30,5.70,-12.33,5.41,3.07,"_","_","_","_","_"
"OCT 1986",95.7,1.40,4.95,-2.31,4.30,3.58,-24.62,2.52,4.46,"_","_","_","_","_"
"NOV 1986",90.6,2.17,8.87,-3.25,7.09,0.58,-21.93,3.71,0.33,"_","_","_","_","_"
"DIC 1986",84.0,2.04,8.68,1.59,5.46,-4.85,-24.31,4.87,-5.20,"_","_","_","_","_"
"ENE 1987",83.6,-0.85,2.53,-8.31,-1.88,3.36,-30.63,-0.44,3.73,"_","_","_","_","_"
"FEB 1987",87.7,4.43,5.93,4.60,1.86,0.40,-25.11,6.40,-3.36,"_","_","_","_","_"
"MAR 1987",92.3,10.33,15.52,9.94,8.37,-0.40,-21.47,12.61,1.68,"_","_","_","_","_"
"ABR 1987",87.2,-3.32,-0.49,-5.91,-0.57,-7.85,-31.94,-2.11,-6.88,"_","_","_","_","_"
"MAY 1987",91.9,5.51,7.25,6.46,3.92,1.54,-33.08,6.76,4.82,"_","_","_","_","_"
"JUN 1987",92.9,5.16,6.10,7.72,3.79,0.76,-29.65,5.99,7.18,"_","_","_","_","_"
"JUL 1987",98.3,9.93,18.29,2.55,11.22,2.27,1.44,10.19,10.84,"_","_","_","_","_"
"AGO 1987",50.6,5.24,7.87,17.65,4.06,0.33,-2.06,5.38,7.58,"_","_","_","_","_"
"SEP 1987",93.8,6.68,9.92,6.82,6.42,0.65,-0.19,7.15,6.15,"_","_","_","_","_"
"OCT 1987",97.4,1.75,1.61,3.05,2.56,7.85,10.01,0.61,10.76,"_","_","_","_","_"
"NOV 1987",96.5,6.49,5.89,12.69,4.56,4.88,6.70,6.37,7.80,"_","_","_","_","_"
"DIC 1987",87.9,4.71,-0.69,16.61,1.41,6.75,1.68,4.06,9.87,"_","_","_","_","_"
"ENE 1988",86.1,3.01,0.82,5.79,3.34,-3.49,37.33,3.08,-3.34,"_","_","_","_","_"
"FEB 1988",92.1,5.06,5.47,8.57,3.50,-1.08,40.26,4.64,2.89,"_","_","_","_","_"
"MAR 1988",98.7,7.02,3.92,14.84,3.51,1.35,27.95,6.69,4.96,"_","_","_","_","_"
"ABR 1988",90.7,3.99,-1.60,10.23,0.00,5.11,9.26,3.90,3.78,"_","_","_","_","_"
"MAY 1988",96.6,5.09,-1.40,13.65,3.08,0.15,12.12,4.94,4.06,"_","_","_","_","_"
"JUN 1988",95.7,3.10,-0.35,8.10,3.09,-3.48,4.71,3.89,-4.30,"_","_","_","_","_"
"JUL 1988",95.0,-3.30,-8.88,1.59,-3.78,1.58,0.96,-3.72,0.36,"_","_","_","_","_"
"AGO 1988",53.7,6.16,5.19,6.25,8.29,1.32,5.88,6.63,3.62,"_","_","_","_","_"
"SEP 1988",96.2,2.56,0.00,4.19,3.02,0.65,8.85,2.39,2.43,"_","_","_","_","_"
"OCT 1988",96.3,-1.11,-9.84,-1.63,1.66,-6.40,0.99,-0.98,-4.02,"_","_","_","_","_"
"NOV 1988",101.0,4.73,0.24,2.31,6.19,-2.87,3.04,5.49,-3.17,"_","_","_","_","_"
"DIC 1988",90.2,2.59,1.25,-6.71,4.64,3.48,4.36,2.09,6.85,"_","_","_","_","_"
"ENE 1989",96.1,11.56,4.48,14.17,13.25,5.37,-8.94,13.11,5.71,"_","_","_","_","_"
"FEB 1989",94.2,2.21,-6.17,2.18,6.91,-0.27,-14.53,3.00,-0.99,"_","_","_","_","_"
"MAR 1989",98.7,0.00,-7.21,-0.49,5.56,-4.65,-11.56,0.84,-4.44,"_","_","_","_","_"
"ABR 1989",97.4,7.41,1.75,8.02,10.71,3.09,-17.44,8.03,6.13,"_","_","_","_","_"
"MAY 1989",99.9,3.48,1.18,2.38,5.97,-1.67,-20.69,4.46,-1.19,"_","_","_","_","_"
"JUN 1989",102.8,7.39,4.71,7.68,7.90,2.51,-19.98,8.10,5.21,"_","_","_","_","_"
"JUL 1989",99.8,5.05,3.13,2.45,6.99,5.92,-34.91,6.73,5.24,"_","_","_","_","_"
"AGO 1989",57.3,6.70,0.62,27.06,10.13,6.21,-30.60,9.33,6.02,"_","_","_","_","_"
"SEP 1989",100.2,4.11,4.69,2.78,5.71,0.48,-40.23,6.52,-1.09,"_","_","_","_","_"
"OCT 1989",102.4,6.35,11.92,1.75,9.13,5.29,-46.83,9.26,1.92,"_","_","_","_","_"
"NOV 1989",103.9,2.85,3.42,2.73,5.83,-1.13,-46.95,5.32,0.00,"_","_","_","_","_"
"DIC 1989",88.5,-1.86,-0.69,-7.52,2.37,-2.25,-47.09,0.55,-5.07,"_","_","_","_","_"
"ENE 1990",100.2,4.24,7.80,2.19,3.95,0.83,-47.62,6.17,-0.63,"_","_","_","_","_"
"FEB 1990",94.3,0.13,4.74,-0.91,0.83,-5.72,-56.62,2.66,-9.37,"_","_","_","_","_"
"MAR 1990",103.5,4.86,9.12,2.93,3.60,4.46,-57.98,6.70,2.85,"_","_","_","_","_"
"ABR 1990",91.7,-5.91,-2.58,-13.18,-4.97,0.29,-36.63,-5.76,-2.34,"_","_","_","_","_"
"MAY 1990",102.2,2.28,4.56,-2.05,1.66,2.47,-24.44,2.89,0.34,"_","_","_","_","_"
"JUN 1990",102.2,-0.58,1.01,-7.76,0.51,3.06,-21.72,-0.45,1.71,"_","_","_","_","_"
"JUL 1990",99.6,-0.24,2.45,-2.01,-3.13,-3.53,-3.56,-0.12,-1.37,"_","_","_","_","_"
"AGO 1990",57.1,-0.42,0.61,-2.78,-2.86,-0.77,-5.47,-0.44,0.73,"_","_","_","_","_"
"SEP 1990",97.8,-2.39,-1.68,-6.99,-4.43,3.85,-2.63,-3.00,4.43,"_","_","_","_","_"
"OCT 1990",100.9,-1.52,1.79,-6.59,-3.99,0.44,1.51,-2.03,2.74,"_","_","_","_","_"
"NOV 1990",104.1,0.23,3.88,-4.30,-2.63,6.84,0.43,-0.34,5.14,"_","_","_","_","_"
"DIC 1990",88.2,-0.41,1.79,-4.07,-3.47,10.08,0.00,-1.90,11.39,"_","_","_","_","_"
"ENE 1991",99.0,-1.20,2.29,-10.82,-1.05,-0.12,33.78,-1.78,0.38,87.5,86.1,101.9,78.3,85.3
"FEB 1991",94.4,0.13,3.52,-12.20,-0.27,12.43,76.26,-2.22,15.99,88.4,87.4,104.6,81.2,84.7
"MAR 1991",92.4,-10.78,-7.46,-26.38,-8.19,1.07,85.72,-12.67,-1.31,95.9,96.0,109.9,92.2,94.6
"ABR 1991",97.5,6.41,12.25,2.36,4.13,0.85,30.13,6.49,3.83,87.2,87.4,96.7,84.0,88.4
"MAY 1991",99.2,-2.93,1.79,-13.40,-0.25,4.07,20.53,-4.38,9.76,86.6,87.1,94.3,84.3,88.7
"JUN 1991",97.7,-4.46,-4.90,-5.42,-4.02,1.64,16.75,-5.06,-1.51,92.8,94.0,102.3,93.1,93.9
"JUL 1991",99.7,0.12,-0.57,-4.19,1.82,4.27,16.58,-0.58,2.44,88.0,88.7,103.7,82.1,89.0
"AGO 1991",56.3,-1.47,-1.37,13.81,-8.00,4.19,12.35,-2.42,1.64,64.9,64.4,75.2,57.9,62.7
"SEP 1991",98.1,0.37,-1.03,-2.91,2.17,5.87,12.85,0.00,1.59,92.9,94.0,110.7,87.9,92.4
"OCT 1991",106.6,5.71,8.48,2.05,7.93,6.47,11.57,5.88,3.17,95.3,95.8,112.8,89.0,94.3
"NOV 1991",101.3,-2.76,1.10,-8.90,0.26,-2.53,7.85,-2.70,-4.89,94.6,94.4,107.7,91.5,92.0
"DIC 1991",90.9,3.13,6.10,15.59,0.00,-15.41,-3.00,6.23,-17.42,85.0,83.6,91.9,86.6,77.4
"ENE 1992",95.7,-3.27,-0.12,-5.15,-2.51,-3.18,24.14,-3.74,-3.53,86.5,84.8,98.6,75.6,85.9
"FEB 1992",96.5,2.16,4.73,1.28,2.33,-2.44,21.47,2.78,-5.95,88.9,88.4,101.8,82.8,87.7
"MAR 1992",99.5,7.66,8.06,15.59,5.00,1.98,14.70,8.34,0.44,95.5,95.3,106.3,91.4,95.6
"ABR 1992",93.8,-3.81,-5.74,-6.81,-2.77,0.14,70.91,-4.78,-5.38,88.1,88.2,97.0,84.1,89.9
"MAY 1992",95.7,-3.51,-5.82,-4.94,-3.91,0.43,57.16,-3.64,-9.36,87.8,88.6,96.7,84.3,90.9
"JUN 1992",98.1,0.49,5.15,-7.26,1.31,-2.78,64.21,0.12,-5.28,90.7,92.0,101.5,89.1,92.4
"JUL 1992",99.7,0.00,6.30,-6.61,4.97,4.82,-27.45,0.35,5.26,87.0,87.7,101.8,80.5,88.3
"AGO 1992",56.1,-0.21,-16.67,52.30,-9.61,-3.13,-24.67,1.13,-1.61,62.3,61.4,72.1,53.2,60.2
"SEP 1992",94.3,-3.91,-0.11,-12.80,2.98,3.79,-16.18,-4.29,3.13,89.6,90.6,105.8,84.1,89.2
"OCT 1992",96.1,-9.90,-9.75,-16.83,-10.60,3.45,-12.15,-10.68,-1.94,92.3,92.7,109.2,85.2,91.1
"NOV 1992",92.9,-8.29,-7.94,-13.03,-7.69,-3.01,-6.96,-8.68,-4.52,89.6,89.6,102.8,84.8,87.9
"DIC 1992",82.8,-8.97,-4.21,-16.83,-9.58,-4.79,-13.11,-9.52,-3.21,79.4,78.1,88.2,79.3,72.0
"ENE 1993",84.1,-12.15,-9.44,-20.15,-12.89,-5.10,-8.06,-12.67,-8.35,81.0,79.3,95.4,68.1,79.8
